the_geom,VENUE_RECN,FULL_NAME,LEVEL_1_NA,LEVEL_2_NA,LEVEL_3_NA,BOOKABLE,EVENT,PROMOTION,TRAINING,WEDDING,SUSTAINABI,SPORT,NO_SMOKING,DOG_PROHIB,DOG_OFF_LE,PROP_ID,ROADSEG_ID,ADDRESSPT_,ADDRESSPT1,ADDRESSP_1
POINT (144.98015573811645 -37.81205157312452),138,Fitzroy Gardens:  FT - Lawn 11/Dolphin Fountain/Bronze Boy & Urn,Fitzroy Gardens,FT - Lawn 11/Dolphin Fountain/Bronze Boy & Urn,,Y,Y,,N,Y,M,,N,N,N,"103,807",0,0,0,0
POINT (144.9554621837315 -37.78557214679238),278,Royal Park:  RP - Lawn 6_Walker_M1,Royal Park,RP - Lawn 6_Walker_M1,,Y,N,,N,N,L,Y,N,N,N,"107,426",0,0,0,0
POINT (144.9771809900954 -37.81598743953911),404,Other Park Locations:  Wellington Park,Other Park Locations,Wellington Park,,Y,Y,,Y,N,L,,N,N,N,"109,992",0,"109,992",10.56411163,351
POINT (144.97139212312234 -37.80150919771168),19,Carlton Gardens:  CG - Lawn 1,Carlton Gardens,CG - Lawn 1,,Y,Y,,N,Y,L,,N,N,N,"108,269",0,"101,721",76.41511683,83
POINT (144.98237744450677 -37.84179927057013),90,Fawkner Park:  FP - Lawn 16 South West_Cs4_S1,Fawkner Park,FP - Lawn 16 South West_Cs4_S1,,Y,N,,N,N,M,Y,N,N,N,"103,756",0,0,0,0
POINT (144.98237744450677 -37.84179927057013),89,Fawkner Park:  FP - Lawn 16 North West_SB6_Cs6,Fawkner Park,FP - Lawn 16 North West_SB6_Cs6,,Y,N,,N,N,M,Y,N,N,N,"103,756",0,0,0,0
POINT (144.95360614269848 -37.806440465708),370,Other Park Locations:  Howard & William St Reserve,Other Park Locations,Howard & William St Reserve,,Y,Y,,N,N,L,,N,N,N,0,"21,382","110,138",19.5985749,343
POINT (144.98138704362836 -37.81343655949792),142,Fitzroy Gardens:  FT - Lawn 17/Fairies Tree,Fitzroy Gardens,FT - Lawn 17/Fairies Tree,,Y,N,,N,Y,M,,N,N,N,"103,807",0,"111,456",34.12994643,106
POINT (144.97341493739142 -37.812775775186815),748,Promotional Spaces:  Parliament Station,Promotional Spaces,Parliament Station,,Y,N,,N,N,,,N,N,N,"108,981",0,"531,157",36.986586,118
POINT (144.9655258951844 -37.807254494588605),356,Other Park Locations:  Eight Hour Reserve,Other Park Locations,Eight Hour Reserve,,Y,Y,,N,N,L,,N,N,N,"110,910",0,"110,910",1.68342765,115
