water_id,poi_id,Description,lat,lon,distance
410,137,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.808993687538326,144.9728686722591,6.645910352706675
411,137,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81033905955521,144.9724239787079,7.27570046146879
412,138,Drinking fountain - unspecified type - Gardiner Reserve,-37.7989933421049,144.94335952463908,6.098076019219276
413,138,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Gardiner Reserve,-37.79889823757444,144.94401837483926,8.127801194424295
414,138,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - North Melbourne Recreation Reserve,-37.79922710932603,144.94028139112405,19.641424792678094
415,139,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - North Melbourne Recreation Reserve,-37.79922710932603,144.94028139112405,3.098218167005534
416,139,Drinking fountain - unspecified type - Gardiner Reserve,-37.7989933421049,144.94335952463908,19.517652908004557
417,139,Drinking Fountain - Leaf Type - Dog Bowl  - Clayton Reserve,-37.79690982991828,144.93887017448856,20.205250149479582
418,140,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Reeves Street Park,-37.79376491305337,144.97024082502696,9.475855475631944
419,140,Drinking Fountain - Drinking Fountain - Type 1,-37.79515817674436,144.97103807920558,11.742607941063264
420,140,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Neill Street Reserve,-37.794860401126186,144.97032531494713,12.575203672894512
421,141,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80774274876369,144.96308654177773,3.783187251838964
422,141,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.807299202453336,144.9638063589646,4.01114069337702
423,141,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.807863918393416,144.96107434937468,14.147483375686814
424,142,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Ron Barassi Senior Park,-37.817146670578076,144.93410355599931,184.28148047852278
425,142,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Wharfs Landing Park,-37.82210994675337,144.93666205920204,185.98853215397872
426,142,Drinking Fountain - Unknown,-37.82217774773881,144.93826895163244,195.50807708446905
427,143,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.8148665286666,144.97934123758301,2.7177241193427832
428,143,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.81426414724787,144.97865144245154,5.343426592921053
429,143,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81536210793982,144.97970486535712,5.9377813090661204
430,144,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.81426414724787,144.97865144245154,1.7692774521581531
431,144,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81443644404849,144.97774297882825,5.8696142517349825
432,144,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.8148665286666,144.97934123758301,7.410119272029997
433,145,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82024273028082,144.95962780503942,8.888828464765847
434,145,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.821867236140854,144.9572554993872,9.388917592645825
435,145,Drinking Fountain - Treated Timber Drinking Fountain - Batman Park,-37.82220232720067,144.956603131736,13.98606394844315
436,146,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82337609495653,144.9798517032086,5.608240356484237
437,146,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,-37.82514308986054,144.97830100199906,10.649838678274206
438,146,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.82435043745128,144.9771113193355,16.523413051223432
439,147,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Carlton Gardens South,-37.80596124931496,144.97143107579004,8.684440321926084
440,147,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80530265416531,144.96955831322754,13.229917583322147
441,147,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Carlton Gardens North,-37.80241728553811,144.97202290316704,14.295784536583952
442,148,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.817671389742316,144.9462535088493,12.365968339216046
443,148,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81600813034881,144.94552203541383,12.551289255109277
444,148,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81841607031649,144.94658139539987,15.417137377370391
445,149,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.820099609077104,144.96520412105647,10.365830808942471
446,149,Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,-37.819376190936254,144.96425791163875,14.487865394968578
447,149,Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,-37.819334137771285,144.96443696866604,14.618433917955674
448,150,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.820991914185974,144.96174237939658,9.410973889067643
449,150,Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,-37.819376190936254,144.96425791163875,9.560011929090305
450,150,Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,-37.819334137771285,144.96443696866604,10.668605217325903
451,151,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81678974689995,144.96933696934119,5.501645741837108
452,151,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.817751132891175,144.96687276249168,13.947095669615878
453,151,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81818027452629,144.97128244641144,14.472122363540855
454,152,Drinking Fountain - Leaf Type - Dog Bowl  - Fitzroy Gardens,-37.81047413141583,144.98106657764444,5.1099879009716425
455,152,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.810693329155406,144.983071937749,12.317707793939968
456,152,Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,-37.81165168802,144.98072416956458,12.904471960398007
457,153,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.813892178607055,144.96411208684842,2.5172779159611385
458,153,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81402271325769,144.96377589639772,2.797566409297217
459,153,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81386555249958,144.96475087670643,5.9394634420352945
460,154,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.813892178607055,144.96411208684842,4.049921586071956
461,154,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,-37.81386555249958,144.96475087670643,4.260302934906182
462,154,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81402271325769,144.96377589639772,5.902769646104932
463,155,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80221537212749,144.96301319081624,4.0108464058379845
464,155,Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.804437684218314,144.9634305261689,11.32335171425457
